"","na.omit(tex)[1:10]"
"1","The Accounting Review"
"2","Journal of Accounting and Economics"
"3","Journal of Accounting Research"
"4","Contemporary Accounting Research"
"5","Review of Accounting Studies"
"6","Accounting, Organizations and Society"
"7","Accounting, Auditing & Accountability Journal"
"8","Critical Perspectives on Accounting"
"9","AUDITING: A Journal of Practice & Theory"
"10","Management Accounting Research"
"11","Management Information Systems Quarterly"
"12","International Journal of Information Management"
"13","American Economic Journal: Applied Economics"
"14","Information & Management"
"15","Information Systems Research"
"16","Business Horizons"
"17","American Journal of Agricultural Economics"
"18","European Journal of Information Systems"
"19","Journal of Management Information Systems"
"20","Environmental Innovation and Societal Transitions"
"21","World Development"
"22","Journal of Development Economics"
"23","The Journal of Peasant Studies"
"24","Third World Quarterly"
"25","The Journal of Development Studies"
"26","Development and Change"
"27","The World Bank Economic Review"
"28","Economic Development and Cultural Change"
"29","Journal of Agrarian Change"
"30","Development Policy Review"
"31","The Journal of Economic History"
"32","Business History"
"33","The Economic History Review"
"34","Explorations in Economic History"
"35","Review of Keynesian Economics"
"36","European Review of Economic History"
"37","History of Political Economy"
"38","The European Journal of the History of Economic Thought"
"39","Journal of the History of Economic Thought"
"40","Accounting History"
"41","American Economic Journal: Economic Policy"
"42","Journal of Monetary Economics"
"43","Journal of International Money and Finance"
"44","American Economic Journal: Macroeconomics"
"45","European Economic Review"
"46","Journal of Money, Credit and Banking"
"47","Journal of Financial Stability"
"48","Review of Economic Dynamics"
"49","Brookings Papers on Economic Activity"
"50","International Journal of Central Banking"
"51","American Economic Review"
"52","The Journal of Finance"
"53","The Quarterly Journal of Economics"
"54","The Review of Financial Studies"
"55","Econometrica"
"56","Review of Economics and Statistics"
"57","Journal of Economic Perspectives"
"58","The Review of Economic Studies"
"59","Journal of Political Economy"
"60","The Economic Journal"
"61","Journal of Education Policy"
"62","Educational Administration Quarterly"
"63","Educational Management Administration & Leadership"
"64","Educational Leadership"
"65","Journal of Educational Administration"
"66","Educational Policy"
"67","School Effectiveness and School Improvement"
"68","Phi Delta Kappan"
"69","Professional Development in Education"
"70","International Journal of Educational Management"
"71","Natural Hazards"
